edad,salario,experiencia,antiguedad_empresa,departamento,tipo_contrato,horas_trabajo,satisfaccion_laboral,balance_trabajo_vida,promociones,distancia_trabajo,comentarios_empleado,renuncia,employee_id,employee_name,risk_score,risk_level,recommendation
20,1942,0,0,finanzas,temporal,40,2,4,0,4,el trabajo es estresante y agotador,0,32,N/A,0.41026049101054546,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
54,2364,35,25,ti,fijo,44,4,1,1,32,siento que crezco profesionalmente,1,33,N/A,0.5979469679979575,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
24,1737,3,2,produccion,fijo,36,3,5,0,30,hay tareas repetitivas que no disfruto,0,34,N/A,0.43365181736208136,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
38,1549,18,13,produccion,temporal,33,3,4,1,14,"algunas tareas son interesantes, otras no tanto",1,35,N/A,0.3914359094449057,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
26,778,0,0,rrhh,fijo,56,2,2,0,0,el ambiente laboral es muy malo y me siento muy estresado por la carga laboral ademas considero que el salario es bajo y siento que no hay crecimiento profesional,1,36,N/A,0.7952098409173098,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
56,3982,34,4,ti,fijo,35,5,2,4,28,me esfuerzo por mejorar en mi puesto,0,37,N/A,0.1918138328276514,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
35,1952,16,5,logistica,fijo,54,2,1,0,23,siento que mi esfuerzo no se reconoce y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional,0,38,N/A,0.5270076539361801,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
21,1707,0,0,ti,fijo,39,3,5,0,8,el equilibrio entre trabajo y vida es justo,1,39,N/A,0.5696116959239695,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
42,2548,16,10,produccion,temporal,36,3,2,3,34,el equilibrio entre trabajo y vida es justo,0,40,N/A,0.3450297573815737,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
31,1682,4,1,produccion,fijo,32,2,4,1,15,me siento estancado profesionalmente,1,41,N/A,0.4746574028898465,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
26,966,0,0,produccion,fijo,44,3,2,0,7,hay falta de comunicacion en el equipo,0,42,N/A,0.47602287847411767,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
43,2017,19,9,ti,temporal,56,3,5,4,7,hay cosas buenas y malas,0,43,N/A,0.491755716161272,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
19,529,0,0,ventas,fijo,50,3,3,0,22,aprecio el apoyo de mis colegas pero no siempre de mi jefe,0,44,N/A,0.43187127920682267,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
37,2028,16,12,logistica,fijo,54,3,2,1,46,hay estabilidad pero falta innovacion,1,45,N/A,0.6562581260893193,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
45,2689,24,24,rrhh,temporal,45,2,2,0,43,siento que mi esfuerzo no se reconoce,0,46,N/A,0.5037201751212047,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
24,1385,4,1,ventas,fijo,50,4,2,0,16,el liderazgo de mi equipo es excelente,0,47,N/A,0.5081587825854034,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
25,1251,0,0,logistica,temporal,32,2,3,0,26,el ambiente laboral es muy malo,1,48,N/A,0.7767811834745716,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
52,2882,30,13,logistica,temporal,53,1,5,1,28,el liderazgo es deficiente y me siento muy estresado por la carga laboral,0,49,N/A,0.40943207477711036,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
31,1295,7,0,produccion,fijo,52,3,4,0,10,tengo oportunidades limitadas para crecer y me siento muy estresado por la carga laboral,1,50,N/A,0.634912934912172,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
34,2324,10,8,ti,fijo,41,2,5,0,22,me siento estancado profesionalmente,1,51,N/A,0.6255562838420492,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
53,2819,35,24,ventas,fijo,34,4,1,2,3,los recursos para trabajar son insuficientes,1,52,N/A,0.4614474021903021,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
57,3765,39,26,ti,fijo,34,3,4,0,16,la empresa tiene potencial de mejora y siento que no hay crecimiento profesional,1,53,N/A,0.6953538123747048,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
21,1975,3,3,produccion,fijo,30,3,3,3,10,"a veces me siento motivado, a veces no",0,54,N/A,0.30504120753078057,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
19,771,0,0,ventas,temporal,53,1,1,0,7,el ambiente laboral es muy malo y me siento muy estresado por la carga laboral ademas considero que el salario es bajo y siento que no hay crecimiento profesional,1,55,N/A,0.8987286894465049,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
23,1071,1,0,ti,fijo,35,4,2,0,50,hay cosas buenas y malas,0,56,N/A,0.3719064584433788,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
59,3349,38,23,finanzas,fijo,44,3,2,3,25,me siento reconocido por mis esfuerzos,0,57,N/A,0.3754294861777403,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
21,1309,0,0,ventas,fijo,50,3,5,0,48,tengo oportunidades limitadas para crecer,0,58,N/A,0.46452392348408655,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
46,3038,25,16,rrhh,temporal,42,2,3,1,7,el ambiente laboral es muy malo,0,59,N/A,0.3270212540121548,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
35,2368,13,0,ti,fijo,36,4,3,0,7,siento que mis habilidades no se aprovechan,1,60,N/A,0.5457495217713205,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
43,1950,21,12,logistica,fijo,47,3,2,2,6,siento que mi esfuerzo no se reconoce,1,61,N/A,0.5079653436525807,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
51,1754,24,15,produccion,fijo,48,3,2,1,50,el ambiente de oficina es tenso,0,62,N/A,0.558078620664787,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
27,1877,8,5,produccion,temporal,54,3,3,0,33,siento que mi esfuerzo no siempre se reconoce y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional,0,63,N/A,0.5163920721883348,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
53,2436,25,14,ventas,temporal,50,5,3,2,31,estoy orgulloso de lo que hacemos,0,64,N/A,0.22303076354519197,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
31,1841,11,11,logistica,fijo,35,4,5,1,12,el equilibrio entre trabajo y vida es justo,0,65,N/A,0.2885623138514472,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
48,3809,30,23,produccion,fijo,37,4,2,0,35,"estoy aprendiendo cosas nuevas, pero hay desafios",1,66,N/A,0.4736308959212708,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
32,2142,10,7,logistica,fijo,59,3,3,0,17,los recursos para trabajar son insuficientes y me siento muy estresado por la carga laboral,1,67,N/A,0.638672818491807,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
25,1945,0,0,finanzas,fijo,32,4,1,0,12,tengo un equilibrio razonable entre trabajo y vida,0,68,N/A,0.46936292184444883,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
31,2532,7,1,rrhh,fijo,46,4,1,1,29,siento que crezco profesionalmente,0,69,N/A,0.3333681464974123,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
40,1650,17,0,ventas,temporal,43,3,1,0,0,siento que mi esfuerzo no siempre se reconoce,0,70,N/A,0.4091167227198826,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
57,2897,30,10,ventas,fijo,58,1,4,1,34,estoy satisfecho con mi equipo,1,71,N/A,0.6179356049616357,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
38,2153,19,14,produccion,temporal,49,2,1,1,2,me siento estancado profesionalmente,0,72,N/A,0.3463284881836415,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
33,1187,11,0,logistica,fijo,43,2,3,0,29,no tengo motivacion para seguir en este trabajo,1,73,N/A,0.6882891251879734,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
35,1870,13,8,ti,fijo,31,4,4,1,47,la empresa valora a sus empleados,1,74,N/A,0.639912967460046,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
41,1818,14,8,produccion,fijo,54,2,2,2,24,siento que mis habilidades no se aprovechan y me siento muy estresado por la carga laboral,1,75,N/A,0.6352048882871235,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
43,3391,22,6,ti,fijo,33,3,3,2,32,"estoy aprendiendo cosas nuevas, pero hay desafios",0,76,N/A,0.2870437690351316,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
42,1308,21,0,produccion,temporal,38,2,1,0,15,me siento sobrecargado y desmotivado,1,77,N/A,0.6712912223720067,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
58,2676,39,28,ti,fijo,52,4,2,3,48,el liderazgo de mi equipo es excelente,0,78,N/A,0.21353250764520293,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
46,2055,24,1,logistica,fijo,60,3,1,1,2,siento que mi esfuerzo no siempre se reconoce y me siento muy estresado por la carga laboral,1,79,N/A,0.7969034685347152,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
32,1517,6,2,ti,temporal,45,3,5,2,46,hay estabilidad pero falta innovacion,1,80,N/A,0.6363491076604081,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
18,1580,0,0,finanzas,fijo,52,2,4,0,28,siento que mis habilidades no se aprovechan y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional,1,81,N/A,0.5833224498935775,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
42,3174,19,12,logistica,temporal,30,3,2,0,13,hay tareas repetitivas que no disfruto y siento que no hay crecimiento profesional,0,82,N/A,0.3409689476643488,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
24,1480,2,0,finanzas,temporal,31,2,1,0,42,no me siento valorado en la empresa,1,83,N/A,0.8440256724002497,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
26,1975,1,1,finanzas,temporal,52,1,5,0,44,siento que mis habilidades no se aprovechan y me siento muy estresado por la carga laboral,1,84,N/A,0.7734212111929167,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
41,2216,16,2,produccion,fijo,41,3,4,1,4,hay cosas buenas y malas,1,85,N/A,0.43352864860620466,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
18,1926,0,0,logistica,fijo,45,2,1,0,43,mi jefe no apoya mi desarrollo profesional,1,86,N/A,0.6634680637062839,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
25,1658,7,1,rrhh,fijo,50,2,3,1,16,el ambiente de oficina es tenso,0,87,N/A,0.31508599406176496,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
41,2414,19,0,finanzas,fijo,52,3,5,0,28,hay falta de comunicacion en el equipo y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional,0,88,N/A,0.48833121943384594,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
28,569,0,0,ventas,fijo,44,3,2,0,20,mi experiencia es promedio ademas considero que el salario es bajo,1,89,N/A,0.6775346637512799,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
34,2141,12,5,rrhh,temporal,48,4,1,2,5,siento que crezco profesionalmente,1,90,N/A,0.7043801897698162,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
25,1694,0,0,ventas,fijo,53,1,2,0,23,no hay reconocimiento al esfuerzo y me siento muy estresado por la carga laboral,1,91,N/A,0.779854123504116,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
52,3736,29,29,finanzas,fijo,49,4,3,0,48,trabajo en proyectos que me interesan,0,92,N/A,0.20808444210033616,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
52,2342,28,4,ventas,fijo,53,2,2,3,27,la carga de trabajo es abrumadora y me siento muy estresado por la carga laboral,1,93,N/A,0.6426742177801841,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
50,2766,26,18,produccion,fijo,35,4,5,1,16,siento estabilidad en mi trabajo,0,94,N/A,0.24420616479848442,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
22,1548,1,0,ventas,fijo,54,2,4,0,41,el liderazgo de mi equipo es excelente y me siento muy estresado por la carga laboral,1,95,N/A,0.7702705427923409,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
59,4000,37,23,rrhh,fijo,51,2,1,4,21,me siento sobrecargado y desmotivado y me siento muy estresado por la carga laboral,1,96,N/A,0.7558982610302248,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
56,3510,38,38,finanzas,temporal,49,4,4,3,23,mi equipo y mi jefe me apoyan mucho,0,97,N/A,0.12711064066436953,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
58,2910,37,11,ventas,temporal,48,5,1,4,39,la cultura de la empresa es positiva,0,98,N/A,0.19451207047348468,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
45,2335,22,13,ventas,temporal,44,5,2,4,17,mi equipo y mi jefe me apoyan mucho,0,99,N/A,0.2232298794259893,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
24,1566,6,4,ventas,fijo,59,4,2,4,27,me siento reconocido por mis esfuerzos y me siento muy estresado por la carga laboral,0,100,N/A,0.2961868836389891,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
26,1470,3,2,logistica,fijo,33,4,5,1,9,el liderazgo es deficiente,0,101,N/A,0.3499244159924288,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
25,2213,3,3,ventas,temporal,45,3,2,3,0,hay estabilidad pero falta innovacion,1,102,N/A,0.7617228220475735,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
29,1477,4,4,rrhh,temporal,40,4,3,1,36,la cultura de la empresa es positiva,0,103,N/A,0.4404449455397863,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
51,2769,31,26,logistica,fijo,36,3,5,4,25,la empresa tiene potencial de mejora,1,104,N/A,0.5131519263050442,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
50,3890,32,20,ti,fijo,53,3,1,4,49,siento que algunos procesos son confusos y me siento muy estresado por la carga laboral,1,105,N/A,0.6231698455188908,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
40,2378,22,5,produccion,fijo,31,5,2,3,25,estoy satisfecho con las condiciones laborales,1,106,N/A,0.49100053879124184,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
41,1996,21,21,finanzas,fijo,54,1,1,1,32,el ambiente de oficina es tenso,0,107,N/A,0.6065308816135726,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
54,2043,36,34,ti,temporal,36,3,2,4,8,el equilibrio entre trabajo y vida es justo,1,108,N/A,0.662762512041459,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
52,3128,31,31,logistica,fijo,52,1,5,0,17,"el ambiente es regular, podria mejorar",0,109,N/A,0.4010064444282989,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
57,2767,32,32,produccion,fijo,58,3,3,1,4,"el equipo es bueno, pero la gestion necesita mejorar y me siento muy estresado por la carga laboral",0,110,N/A,0.3231131504051333,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
39,1727,17,10,ventas,fijo,41,2,1,1,21,siento que mi trabajo no tiene impacto,0,111,N/A,0.4686303265599652,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
44,3190,26,16,ti,temporal,55,2,4,0,9,no confio en la direccion de la empresa,1,112,N/A,0.725073425781118,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
52,3671,30,4,produccion,fijo,43,4,2,4,13,el ambiente laboral es muy malo,0,113,N/A,0.1840185196027465,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
18,1241,0,0,produccion,fijo,44,3,5,0,11,hay cosas buenas y malas y siento que no hay crecimiento profesional,0,114,N/A,0.33756893078407696,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
52,2654,25,11,ti,temporal,49,4,1,2,31,disfruto trabajar en esta empresa,1,115,N/A,0.46375703480162683,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
54,3725,30,19,ventas,fijo,36,3,5,1,38,"el equipo es bueno, pero la gestion necesita mejorar",0,116,N/A,0.346849241348253,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
31,1161,9,6,ventas,fijo,47,3,1,4,44,"estoy aprendiendo cosas nuevas, pero hay desafios",1,117,N/A,0.776033735080358,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
20,1278,0,0,logistica,fijo,40,4,3,0,35,me siento parte de un buen equipo y siento que no hay crecimiento profesional,0,118,N/A,0.5105818759171629,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
18,1889,0,0,finanzas,fijo,39,3,2,0,50,cumplo mis funciones sin mayor inconveniente y siento que no hay crecimiento profesional,1,119,N/A,0.6763115338163505,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
22,1274,1,0,produccion,fijo,43,4,1,0,49,estoy satisfecho con mi equipo,1,120,N/A,0.6616391683150311,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
43,2532,14,3,finanzas,temporal,59,3,4,1,46,el liderazgo de mi equipo es excelente,0,121,N/A,0.39268576699099683,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
31,1913,13,9,logistica,fijo,32,2,2,0,14,el ambiente de oficina es tenso y siento que no hay crecimiento profesional,1,122,N/A,0.7380274888051158,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
56,2565,32,29,ventas,fijo,47,4,2,0,32,hay un buen ambiente de colaboracion,1,123,N/A,0.732182114584859,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
44,2536,23,15,logistica,temporal,41,3,5,1,15,aprecio el apoyo de mis colegas pero no siempre de mi jefe,0,124,N/A,0.3448451699854616,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
26,891,3,2,produccion,fijo,50,3,2,0,3,"no es el mejor trabajo, pero tampoco el peor ademas considero que el salario es bajo",1,125,N/A,0.7630708339775859,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
32,1554,9,1,finanzas,fijo,30,2,1,0,50,hay falta de comunicacion en el equipo,1,126,N/A,0.7983820036863094,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
32,1906,10,9,finanzas,temporal,59,4,3,4,2,el liderazgo es deficiente,1,127,N/A,0.644826191795006,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
43,1540,22,19,finanzas,fijo,42,4,1,0,25,estoy muy insatisfecho con mi trabajo,1,128,N/A,0.8010370634661121,Alto,"1. Reunión inmediata con RRHH
2. Ajustar carga laboral
3. Crear plan de retención"
59,4000,39,23,logistica,fijo,31,5,2,2,36,disfruto trabajar en esta empresa,1,129,N/A,0.631289727356514,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
30,1608,11,1,produccion,fijo,44,3,4,1,33,hay estabilidad pero falta innovacion,1,130,N/A,0.5673936948002983,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
49,3112,30,4,rrhh,temporal,60,3,4,4,41,siento que mi esfuerzo no siempre se reconoce y me siento muy estresado por la carga laboral,1,131,N/A,0.6188750372736751,Medio,"1. Seguimiento con liderazgo
2. Revisar satisfacción laboral"
56,4000,37,12,rrhh,fijo,40,5,1,4,8,hay tareas repetitivas que no disfruto,0,132,N/A,0.22328933284342317,Bajo,"1. Mantener monitoreo
2. Reforzar motivación y reconocimiento"
