edad,salario,experiencia,antiguedad_empresa,departamento,tipo_contrato,horas_trabajo,satisfaccion_laboral,balance_trabajo_vida,promociones,distancia_trabajo,comentarios_empleado,renuncia
59,2486,34,27,produccion,fijo,50,3,5,2,27,"estoy aprendiendo cosas nuevas, pero hay desafios",1
45,2511,26,16,logistica,fijo,47,3,3,0,50,siento que algunos procesos son confusos,1
33,2271,13,13,ventas,fijo,32,4,2,3,1,trabajo en proyectos que me interesan,0
32,1350,8,6,ventas,fijo,50,3,3,1,22,la cultura de la empresa es positiva,0
20,1942,0,0,finanzas,temporal,40,2,4,0,4,el trabajo es estresante y agotador,0
54,2364,35,25,ti,fijo,44,4,1,1,32,siento que crezco profesionalmente,1
24,1737,3,2,produccion,fijo,36,3,5,0,30,hay tareas repetitivas que no disfruto,0
38,1549,18,13,produccion,temporal,33,3,4,1,14,"algunas tareas son interesantes, otras no tanto",1
26,778,0,0,rrhh,fijo,56,2,2,0,0,el ambiente laboral es muy malo y me siento muy estresado por la carga laboral ademas considero que el salario es bajo y siento que no hay crecimiento profesional,1
56,3982,34,4,ti,fijo,35,5,2,4,28,me esfuerzo por mejorar en mi puesto,0
35,1952,16,5,logistica,fijo,54,2,1,0,23,siento que mi esfuerzo no se reconoce y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional,0
21,1707,0,0,ti,fijo,39,3,5,0,8,el equilibrio entre trabajo y vida es justo,1
42,2548,16,10,produccion,temporal,36,3,2,3,34,el equilibrio entre trabajo y vida es justo,0
31,1682,4,1,produccion,fijo,32,2,4,1,15,me siento estancado profesionalmente,1
26,966,0,0,produccion,fijo,44,3,2,0,7,hay falta de comunicacion en el equipo,0
43,2017,19,9,ti,temporal,56,3,5,4,7,hay cosas buenas y malas,0
19,529,0,0,ventas,fijo,50,3,3,0,22,aprecio el apoyo de mis colegas pero no siempre de mi jefe,0
37,2028,16,12,logistica,fijo,54,3,2,1,46,hay estabilidad pero falta innovacion,1
45,2689,24,24,rrhh,temporal,45,2,2,0,43,siento que mi esfuerzo no se reconoce,0
24,1385,4,1,ventas,fijo,50,4,2,0,16,el liderazgo de mi equipo es excelente,0
25,1251,0,0,logistica,temporal,32,2,3,0,26,el ambiente laboral es muy malo,1
52,2882,30,13,logistica,temporal,53,1,5,1,28,el liderazgo es deficiente y me siento muy estresado por la carga laboral,0
31,1295,7,0,produccion,fijo,52,3,4,0,10,tengo oportunidades limitadas para crecer y me siento muy estresado por la carga laboral,1
34,2324,10,8,ti,fijo,41,2,5,0,22,me siento estancado profesionalmente,1
53,2819,35,24,ventas,fijo,34,4,1,2,3,los recursos para trabajar son insuficientes,1
57,3765,39,26,ti,fijo,34,3,4,0,16,la empresa tiene potencial de mejora y siento que no hay crecimiento profesional,1
21,1975,3,3,produccion,fijo,30,3,3,3,10,"a veces me siento motivado, a veces no",0
19,771,0,0,ventas,temporal,53,1,1,0,7,el ambiente laboral es muy malo y me siento muy estresado por la carga laboral ademas considero que el salario es bajo y siento que no hay crecimiento profesional,1
23,1071,1,0,ti,fijo,35,4,2,0,50,hay cosas buenas y malas,0
59,3349,38,23,finanzas,fijo,44,3,2,3,25,me siento reconocido por mis esfuerzos,0
21,1309,0,0,ventas,fijo,50,3,5,0,48,tengo oportunidades limitadas para crecer,0
46,3038,25,16,rrhh,temporal,42,2,3,1,7,el ambiente laboral es muy malo,0
35,2368,13,0,ti,fijo,36,4,3,0,7,siento que mis habilidades no se aprovechan,1
43,1950,21,12,logistica,fijo,47,3,2,2,6,siento que mi esfuerzo no se reconoce,1
51,1754,24,15,produccion,fijo,48,3,2,1,50,el ambiente de oficina es tenso,0
27,1877,8,5,produccion,temporal,54,3,3,0,33,siento que mi esfuerzo no siempre se reconoce y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional,0
53,2436,25,14,ventas,temporal,50,5,3,2,31,estoy orgulloso de lo que hacemos,0
31,1841,11,11,logistica,fijo,35,4,5,1,12,el equilibrio entre trabajo y vida es justo,0
48,3809,30,23,produccion,fijo,37,4,2,0,35,"estoy aprendiendo cosas nuevas, pero hay desafios",1
32,2142,10,7,logistica,fijo,59,3,3,0,17,los recursos para trabajar son insuficientes y me siento muy estresado por la carga laboral,1
25,1945,0,0,finanzas,fijo,32,4,1,0,12,tengo un equilibrio razonable entre trabajo y vida,0
31,2532,7,1,rrhh,fijo,46,4,1,1,29,siento que crezco profesionalmente,0
40,1650,17,0,ventas,temporal,43,3,1,0,0,siento que mi esfuerzo no siempre se reconoce,0
57,2897,30,10,ventas,fijo,58,1,4,1,34,estoy satisfecho con mi equipo,1
38,2153,19,14,produccion,temporal,49,2,1,1,2,me siento estancado profesionalmente,0
33,1187,11,0,logistica,fijo,43,2,3,0,29,no tengo motivacion para seguir en este trabajo,1
35,1870,13,8,ti,fijo,31,4,4,1,47,la empresa valora a sus empleados,1
41,1818,14,8,produccion,fijo,54,2,2,2,24,siento que mis habilidades no se aprovechan y me siento muy estresado por la carga laboral,1
43,3391,22,6,ti,fijo,33,3,3,2,32,"estoy aprendiendo cosas nuevas, pero hay desafios",0
42,1308,21,0,produccion,temporal,38,2,1,0,15,me siento sobrecargado y desmotivado,1
58,2676,39,28,ti,fijo,52,4,2,3,48,el liderazgo de mi equipo es excelente,0
46,2055,24,1,logistica,fijo,60,3,1,1,2,siento que mi esfuerzo no siempre se reconoce y me siento muy estresado por la carga laboral,1
32,1517,6,2,ti,temporal,45,3,5,2,46,hay estabilidad pero falta innovacion,1
18,1580,0,0,finanzas,fijo,52,2,4,0,28,siento que mis habilidades no se aprovechan y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional,1
42,3174,19,12,logistica,temporal,30,3,2,0,13,hay tareas repetitivas que no disfruto y siento que no hay crecimiento profesional,0
24,1480,2,0,finanzas,temporal,31,2,1,0,42,no me siento valorado en la empresa,1
26,1975,1,1,finanzas,temporal,52,1,5,0,44,siento que mis habilidades no se aprovechan y me siento muy estresado por la carga laboral,1
41,2216,16,2,produccion,fijo,41,3,4,1,4,hay cosas buenas y malas,1
18,1926,0,0,logistica,fijo,45,2,1,0,43,mi jefe no apoya mi desarrollo profesional,1
25,1658,7,1,rrhh,fijo,50,2,3,1,16,el ambiente de oficina es tenso,0
41,2414,19,0,finanzas,fijo,52,3,5,0,28,hay falta de comunicacion en el equipo y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional,0
28,569,0,0,ventas,fijo,44,3,2,0,20,mi experiencia es promedio ademas considero que el salario es bajo,1
34,2141,12,5,rrhh,temporal,48,4,1,2,5,siento que crezco profesionalmente,1
25,1694,0,0,ventas,fijo,53,1,2,0,23,no hay reconocimiento al esfuerzo y me siento muy estresado por la carga laboral,1
52,3736,29,29,finanzas,fijo,49,4,3,0,48,trabajo en proyectos que me interesan,0
52,2342,28,4,ventas,fijo,53,2,2,3,27,la carga de trabajo es abrumadora y me siento muy estresado por la carga laboral,1
50,2766,26,18,produccion,fijo,35,4,5,1,16,siento estabilidad en mi trabajo,0
22,1548,1,0,ventas,fijo,54,2,4,0,41,el liderazgo de mi equipo es excelente y me siento muy estresado por la carga laboral,1
59,4000,37,23,rrhh,fijo,51,2,1,4,21,me siento sobrecargado y desmotivado y me siento muy estresado por la carga laboral,1
56,3510,38,38,finanzas,temporal,49,4,4,3,23,mi equipo y mi jefe me apoyan mucho,0
58,2910,37,11,ventas,temporal,48,5,1,4,39,la cultura de la empresa es positiva,0
45,2335,22,13,ventas,temporal,44,5,2,4,17,mi equipo y mi jefe me apoyan mucho,0
24,1566,6,4,ventas,fijo,59,4,2,4,27,me siento reconocido por mis esfuerzos y me siento muy estresado por la carga laboral,0
26,1470,3,2,logistica,fijo,33,4,5,1,9,el liderazgo es deficiente,0
25,2213,3,3,ventas,temporal,45,3,2,3,0,hay estabilidad pero falta innovacion,1
29,1477,4,4,rrhh,temporal,40,4,3,1,36,la cultura de la empresa es positiva,0
51,2769,31,26,logistica,fijo,36,3,5,4,25,la empresa tiene potencial de mejora,1
50,3890,32,20,ti,fijo,53,3,1,4,49,siento que algunos procesos son confusos y me siento muy estresado por la carga laboral,1
40,2378,22,5,produccion,fijo,31,5,2,3,25,estoy satisfecho con las condiciones laborales,1
41,1996,21,21,finanzas,fijo,54,1,1,1,32,el ambiente de oficina es tenso,0
54,2043,36,34,ti,temporal,36,3,2,4,8,el equilibrio entre trabajo y vida es justo,1
52,3128,31,31,logistica,fijo,52,1,5,0,17,"el ambiente es regular, podria mejorar",0
57,2767,32,32,produccion,fijo,58,3,3,1,4,"el equipo es bueno, pero la gestion necesita mejorar y me siento muy estresado por la carga laboral",0
39,1727,17,10,ventas,fijo,41,2,1,1,21,siento que mi trabajo no tiene impacto,0
44,3190,26,16,ti,temporal,55,2,4,0,9,no confio en la direccion de la empresa,1
52,3671,30,4,produccion,fijo,43,4,2,4,13,el ambiente laboral es muy malo,0
18,1241,0,0,produccion,fijo,44,3,5,0,11,hay cosas buenas y malas y siento que no hay crecimiento profesional,0
52,2654,25,11,ti,temporal,49,4,1,2,31,disfruto trabajar en esta empresa,1
54,3725,30,19,ventas,fijo,36,3,5,1,38,"el equipo es bueno, pero la gestion necesita mejorar",0
31,1161,9,6,ventas,fijo,47,3,1,4,44,"estoy aprendiendo cosas nuevas, pero hay desafios",1
20,1278,0,0,logistica,fijo,40,4,3,0,35,me siento parte de un buen equipo y siento que no hay crecimiento profesional,0
18,1889,0,0,finanzas,fijo,39,3,2,0,50,cumplo mis funciones sin mayor inconveniente y siento que no hay crecimiento profesional,1
22,1274,1,0,produccion,fijo,43,4,1,0,49,estoy satisfecho con mi equipo,1
43,2532,14,3,finanzas,temporal,59,3,4,1,46,el liderazgo de mi equipo es excelente,0
31,1913,13,9,logistica,fijo,32,2,2,0,14,el ambiente de oficina es tenso y siento que no hay crecimiento profesional,1
56,2565,32,29,ventas,fijo,47,4,2,0,32,hay un buen ambiente de colaboracion,1
44,2536,23,15,logistica,temporal,41,3,5,1,15,aprecio el apoyo de mis colegas pero no siempre de mi jefe,0
26,891,3,2,produccion,fijo,50,3,2,0,3,"no es el mejor trabajo, pero tampoco el peor ademas considero que el salario es bajo",1
32,1554,9,1,finanzas,fijo,30,2,1,0,50,hay falta de comunicacion en el equipo,1
32,1906,10,9,finanzas,temporal,59,4,3,4,2,el liderazgo es deficiente,1
43,1540,22,19,finanzas,fijo,42,4,1,0,25,estoy muy insatisfecho con mi trabajo,1
59,4000,39,23,logistica,fijo,31,5,2,2,36,disfruto trabajar en esta empresa,1
30,1608,11,1,produccion,fijo,44,3,4,1,33,hay estabilidad pero falta innovacion,1
49,3112,30,4,rrhh,temporal,60,3,4,4,41,siento que mi esfuerzo no siempre se reconoce y me siento muy estresado por la carga laboral,1
56,4000,37,12,rrhh,fijo,40,5,1,4,8,hay tareas repetitivas que no disfruto,0
49,2327,29,22,ventas,fijo,35,4,1,1,43,disfruto trabajar en esta empresa,0
21,1953,0,0,produccion,fijo,35,2,1,0,13,hay buenas oportunidades de aprendizaje,0
47,2642,20,9,produccion,temporal,57,4,1,4,46,me siento parte de un buen equipo,0
54,3423,34,21,ti,temporal,53,1,5,1,32,no tengo motivacion para seguir en este trabajo y me siento muy estresado por la carga laboral,1
40,2167,22,12,finanzas,fijo,54,1,1,0,47,me siento sobrecargado y desmotivado,1
56,3233,37,13,ventas,temporal,54,4,5,3,37,estoy muy insatisfecho con mi trabajo,1
32,1371,8,8,produccion,fijo,52,3,2,2,4,hay falta de comunicacion en el equipo y me siento muy estresado por la carga laboral,0
60,4000,36,17,ti,fijo,41,3,1,2,50,"no es el mejor trabajo, pero tampoco el peor",1
46,1509,22,19,ti,fijo,45,3,1,0,46,"estoy aprendiendo cosas nuevas, pero hay desafios",1
53,2414,29,22,produccion,fijo,45,4,4,3,27,mi desarrollo profesional es constante,0
30,1554,6,3,ventas,fijo,39,3,2,0,32,"algunas tareas son interesantes, otras no tanto",0
49,2931,25,7,ventas,temporal,46,3,2,3,16,no recibo retroalimentacion suficiente,0
24,1766,0,0,rrhh,fijo,49,2,1,0,20,siento que mi trabajo no tiene impacto y siento que no hay crecimiento profesional,1
39,3048,19,4,rrhh,fijo,52,4,2,4,6,hay un buen ambiente de colaboracion y me siento muy estresado por la carga laboral,0
45,2152,22,20,ventas,temporal,31,3,3,4,39,la carga de trabajo es abrumadora,1
19,630,0,0,ti,fijo,57,2,4,0,34,mi equipo y mi jefe me apoyan mucho y me siento muy estresado por la carga laboral ademas considero que el salario es bajo,0
59,3023,36,19,logistica,fijo,54,2,2,4,6,el equilibrio entre trabajo y vida es justo,1
23,1699,5,0,rrhh,fijo,42,3,3,0,7,"estoy aprendiendo cosas nuevas, pero hay desafios",1
45,3348,23,11,ti,fijo,46,3,1,3,50,hay estabilidad pero falta innovacion,1
45,1961,21,15,rrhh,temporal,38,3,4,0,43,"no es el mejor trabajo, pero tampoco el peor y siento que no hay crecimiento profesional",1
37,2159,15,9,ti,temporal,44,3,4,4,41,el trabajo es aceptable,0
47,1305,23,19,finanzas,fijo,36,3,4,0,30,cumplo mis funciones sin mayor inconveniente y siento que no hay crecimiento profesional,1
28,2329,5,2,produccion,temporal,42,4,3,0,4,mi jefe no apoya mi desarrollo profesional,0
45,2497,20,6,ventas,temporal,39,3,5,0,4,el trabajo cumple con lo esperado,0
42,1993,23,3,finanzas,fijo,51,3,4,2,23,estoy contento con mi trabajo,1
56,2749,32,9,ventas,fijo,59,1,3,0,21,siento que mi esfuerzo no se reconoce y siento que no hay crecimiento profesional,1
50,2039,28,7,logistica,fijo,57,3,5,0,43,el equilibrio entre trabajo y vida es justo,0
18,1697,0,0,ti,temporal,52,1,3,0,12,hay buenas oportunidades de aprendizaje y me siento muy estresado por la carga laboral,1
44,1507,14,3,rrhh,temporal,47,4,3,3,21,me siento reconocido por mis esfuerzos,0
30,2135,4,1,rrhh,fijo,39,3,3,1,25,me gusta el ambiente laboral,0
58,2284,35,30,rrhh,fijo,57,3,4,3,0,"el ambiente es regular, podria mejorar",0
20,1778,0,0,produccion,fijo,47,3,1,0,16,la empresa tiene potencial de mejora,0
56,2609,33,11,produccion,temporal,43,3,4,4,18,mi experiencia es promedio,1
23,2105,4,3,logistica,fijo,48,3,4,2,1,mi experiencia es promedio,0
25,975,4,1,ventas,fijo,51,1,4,0,49,siento estabilidad en mi trabajo y siento que no hay crecimiento profesional,1
44,2478,20,10,rrhh,temporal,30,4,4,1,10,estoy satisfecho con mi equipo,0
26,714,2,2,finanzas,temporal,56,1,5,0,29,hay estabilidad pero falta innovacion y me siento muy estresado por la carga laboral ademas considero que el salario es bajo y siento que no hay crecimiento profesional,0
54,3443,36,12,ventas,fijo,33,4,5,0,45,el trabajo es estresante y agotador,0
50,3885,32,16,produccion,fijo,53,3,3,4,22,mi equipo y mi jefe me apoyan mucho,0
59,3917,39,9,produccion,temporal,53,2,2,2,14,siento estabilidad en mi trabajo y me siento muy estresado por la carga laboral,1
41,2391,15,7,rrhh,fijo,43,4,2,4,22,la empresa valora a sus empleados,0
32,1169,7,5,produccion,fijo,34,4,1,4,11,estoy motivado y satisfecho con mis proyectos,1
49,2299,27,13,ti,temporal,52,3,3,1,26,siento que mi esfuerzo no siempre se reconoce,1
49,3123,30,18,produccion,fijo,34,2,1,0,5,"no es el mejor trabajo, pero tampoco el peor",1
41,2853,14,7,logistica,fijo,49,4,5,3,29,hay un buen ambiente de colaboracion,0
58,4000,40,32,rrhh,temporal,51,2,4,4,4,no hay oportunidades de crecimiento,1
29,1201,4,0,ventas,fijo,43,4,1,0,45,siento que crezco profesionalmente y siento que no hay crecimiento profesional,0
56,3241,32,24,produccion,fijo,37,4,1,4,37,la empresa valora a sus empleados,0
19,1895,0,0,finanzas,fijo,41,3,5,0,34,siento que crezco profesionalmente y siento que no hay crecimiento profesional,0
20,1525,0,0,finanzas,temporal,55,2,3,0,5,no recibo retroalimentacion suficiente,1
54,3103,33,24,ti,temporal,46,4,4,3,13,el liderazgo de mi equipo es excelente,0
34,1869,12,12,ventas,temporal,32,2,4,1,49,los recursos para trabajar son insuficientes,0
19,1444,0,0,ti,temporal,33,4,3,0,16,estoy orgulloso de lo que hacemos,1
19,1209,0,0,logistica,fijo,34,4,5,0,8,mi desarrollo profesional es constante,0
45,2032,17,11,ti,fijo,30,4,5,2,39,estoy orgulloso de lo que hacemos,1
40,2554,22,21,rrhh,fijo,54,3,1,1,30,"algunas tareas son interesantes, otras no tanto y me siento muy estresado por la carga laboral",1
54,3357,34,23,rrhh,temporal,53,4,2,4,35,me siento reconocido por mis esfuerzos y me siento muy estresado por la carga laboral,1
49,2599,30,8,rrhh,temporal,31,2,2,1,9,siento que mis habilidades no se aprovechan,1
50,2573,29,27,finanzas,temporal,34,3,5,3,26,el ambiente laboral es muy malo,0
18,654,0,0,produccion,temporal,54,1,3,0,48,mi jefe no apoya mi desarrollo profesional,1
36,2283,12,6,ventas,temporal,58,1,3,1,4,estoy muy insatisfecho con mi trabajo,1
19,482,0,0,rrhh,fijo,48,2,2,0,16,no hay reconocimiento al esfuerzo ademas considero que el salario es bajo,0
43,3170,21,6,ventas,fijo,34,3,3,4,30,la empresa valora a sus empleados,0
49,3350,26,12,ti,fijo,54,3,3,3,13,me siento reconocido por mis esfuerzos,1
23,1745,1,1,logistica,temporal,51,3,4,1,22,la empresa tiene potencial de mejora y me siento muy estresado por la carga laboral,0
49,2600,21,1,produccion,fijo,42,4,3,1,43,me siento reconocido por mis esfuerzos,0
21,1706,0,0,finanzas,fijo,34,2,4,0,28,estoy muy insatisfecho con mi trabajo,0
28,1499,2,2,ventas,fijo,37,3,4,0,38,estoy satisfecho con mi equipo,1
34,1991,5,1,produccion,fijo,59,2,2,0,14,no me siento valorado en la empresa y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional,1
55,2718,31,15,ventas,fijo,50,4,4,4,46,me siento reconocido por mis esfuerzos,1
41,1562,16,1,ti,fijo,38,4,5,0,11,estoy satisfecho con mi equipo y siento que no hay crecimiento profesional,1
22,1983,0,0,rrhh,temporal,44,2,1,0,32,no me siento valorado en la empresa,1
51,3921,33,24,ti,temporal,56,4,4,4,39,trabajo en proyectos que me interesan y me siento muy estresado por la carga laboral,0
23,1274,1,0,ventas,temporal,58,2,5,0,29,el ambiente laboral es muy malo y me siento muy estresado por la carga laboral,1
39,2283,17,1,finanzas,fijo,32,4,5,1,21,mi desarrollo profesional es constante,1
28,823,5,3,ventas,fijo,30,2,3,3,29,me siento reconocido por mis esfuerzos,1
33,2008,14,6,logistica,fijo,49,2,5,0,31,hay falta de comunicacion en el equipo,0
50,2302,26,4,finanzas,fijo,36,3,3,2,19,siento estabilidad en mi trabajo,0
26,2103,7,2,finanzas,fijo,42,4,5,2,37,siento que crezco profesionalmente,1
23,1023,5,0,ventas,fijo,32,4,2,0,19,la empresa valora a sus empleados,1
33,1607,10,4,ventas,temporal,58,2,2,0,1,el trabajo es estresante y agotador y me siento muy estresado por la carga laboral,1
46,2611,27,3,finanzas,temporal,39,3,2,2,30,la empresa tiene potencial de mejora,1
20,1469,0,0,ventas,temporal,53,2,2,0,49,estoy satisfecho con las condiciones laborales y siento que no hay crecimiento profesional,1
37,1972,18,2,produccion,fijo,47,2,2,1,27,no confio en la direccion de la empresa,1
53,2460,29,6,finanzas,fijo,45,5,5,2,2,me siento reconocido por mis esfuerzos,0
36,1852,16,10,logistica,fijo,38,3,4,2,19,el trabajo cumple con lo esperado,0
43,2532,20,0,finanzas,temporal,44,4,4,0,34,me siento parte de un buen equipo,1
20,1639,2,1,ventas,fijo,43,4,4,0,18,siento que crezco profesionalmente,0
36,1586,16,0,ti,temporal,48,2,2,0,5,siento que mi esfuerzo no se reconoce,1
37,2826,18,15,produccion,temporal,56,4,2,3,10,disfruto trabajar en esta empresa y me siento muy estresado por la carga laboral,1
49,3175,25,12,ventas,temporal,59,4,5,2,44,no hay oportunidades de crecimiento y me siento muy estresado por la carga laboral,0
24,2049,1,1,rrhh,fijo,35,2,4,1,5,los recursos para trabajar son insuficientes,0
58,2652,40,37,produccion,fijo,36,2,3,1,17,no hay oportunidades de crecimiento,0
50,2812,29,20,rrhh,temporal,34,3,2,3,46,siento que algunos procesos son confusos,0
57,3789,38,22,produccion,fijo,55,2,1,0,13,me siento sobrecargado y desmotivado y siento que no hay crecimiento profesional,0
56,2934,29,13,finanzas,fijo,42,3,1,2,13,hay cosas buenas y malas,0
35,1318,10,4,produccion,fijo,34,2,1,1,0,siento que mi esfuerzo no se reconoce,1
57,2486,39,29,ventas,temporal,43,4,5,0,16,me gusta el ambiente laboral y siento que no hay crecimiento profesional,0
18,1225,0,0,rrhh,fijo,30,4,3,0,13,el liderazgo de mi equipo es excelente,1
28,2265,9,7,ti,temporal,49,5,2,4,30,trabajo en proyectos que me interesan,0
45,1623,24,17,rrhh,fijo,30,4,5,4,44,disfruto trabajar en esta empresa,0
42,2049,20,5,logistica,temporal,38,4,4,3,9,siento que mis habilidades no se aprovechan,0
40,1604,13,4,logistica,fijo,38,2,4,0,37,la carga de trabajo es abrumadora y siento que no hay crecimiento profesional,1
48,3366,30,9,finanzas,fijo,44,5,2,3,32,siento que crezco profesionalmente,0
47,2761,23,17,logistica,fijo,34,4,2,0,4,el liderazgo es deficiente,0
59,3173,41,12,finanzas,fijo,50,4,1,0,15,estoy orgulloso de lo que hacemos,0
52,3151,34,19,ti,temporal,58,3,3,4,19,"el equipo es bueno, pero la gestion necesita mejorar",1
24,1296,0,0,produccion,temporal,50,2,1,0,47,no hay oportunidades de crecimiento,0
33,1537,11,5,logistica,fijo,60,3,3,3,21,"estoy aprendiendo cosas nuevas, pero hay desafios y me siento muy estresado por la carga laboral",1
43,2265,25,20,produccion,temporal,36,5,5,4,39,la cultura de la empresa es positiva,0
19,1781,0,0,finanzas,fijo,60,2,5,0,16,me siento sobrecargado y desmotivado y me siento muy estresado por la carga laboral,1
18,973,0,0,ti,temporal,51,1,3,0,49,siento que mis habilidades no se aprovechan y siento que no hay crecimiento profesional,0
29,1339,8,3,finanzas,fijo,31,2,5,0,49,mi experiencia es promedio,1
22,1065,0,0,rrhh,temporal,40,4,3,0,8,estoy orgulloso de lo que hacemos,0
54,2171,24,12,produccion,fijo,39,4,5,4,37,la empresa valora a sus empleados,0
49,3599,29,17,rrhh,temporal,48,5,4,3,41,disfruto trabajar en esta empresa,0
26,2208,4,4,rrhh,fijo,34,5,2,3,8,me gusta el ambiente laboral,0
58,2527,33,12,ventas,fijo,52,1,5,1,14,el liderazgo es deficiente y me siento muy estresado por la carga laboral,0
52,2954,25,6,produccion,fijo,44,5,5,4,45,estoy contento con mi trabajo,0
36,2063,16,4,finanzas,fijo,31,4,4,1,13,estoy satisfecho con mi equipo,1
33,2965,13,12,finanzas,fijo,40,2,1,0,8,siento que mis habilidades no se aprovechan,0
20,604,1,0,rrhh,fijo,33,2,4,0,8,no tengo motivacion para seguir en este trabajo,0
37,1840,17,5,logistica,fijo,46,4,5,4,32,me siento parte de un buen equipo,0
41,3044,19,7,ti,fijo,52,3,4,2,30,siento estabilidad en mi trabajo y me siento muy estresado por la carga laboral,0
50,3339,30,26,ventas,temporal,60,1,4,1,9,siento estabilidad en mi trabajo y me siento muy estresado por la carga laboral,1
41,2597,21,11,ventas,temporal,60,4,4,3,9,siento que crezco profesionalmente,0
28,949,5,1,logistica,fijo,56,1,3,1,38,el liderazgo de mi equipo es excelente,1
25,1247,7,2,logistica,fijo,59,1,4,1,4,no me siento valorado en la empresa y me siento muy estresado por la carga laboral,0
53,3528,33,19,rrhh,fijo,31,4,4,4,17,estoy motivado y satisfecho con mis proyectos,0
55,2597,33,9,ventas,fijo,53,2,5,1,32,el ambiente de oficina es tenso,1
57,3018,35,7,ventas,fijo,39,4,3,3,48,estoy contento con mi trabajo,0
37,2151,19,7,rrhh,fijo,57,3,1,1,17,me esfuerzo por mejorar en mi puesto,1
52,2907,27,13,finanzas,fijo,40,2,3,1,11,la cultura de la empresa es positiva,0
42,3675,24,3,rrhh,fijo,30,4,3,2,24,estoy orgulloso de lo que hacemos,0
52,3093,34,30,rrhh,fijo,47,3,3,0,26,tengo oportunidades limitadas para crecer,0
42,3171,20,14,produccion,fijo,53,2,5,3,40,no hay oportunidades de crecimiento,0
46,2843,15,9,finanzas,fijo,34,2,2,0,8,el liderazgo es deficiente,1
35,2171,11,1,rrhh,temporal,59,1,5,0,48,no confio en la direccion de la empresa y siento que no hay crecimiento profesional,1
35,2475,13,5,produccion,fijo,34,3,5,4,12,mi equipo y mi jefe me apoyan mucho,1
19,954,0,0,ventas,fijo,56,1,1,0,48,la carga de trabajo es abrumadora y me siento muy estresado por la carga laboral,1
52,2320,32,14,ti,fijo,52,4,1,4,21,hay buenas oportunidades de aprendizaje,0
33,1803,5,2,finanzas,fijo,59,2,1,2,1,la carga de trabajo es abrumadora,1
58,3076,39,23,produccion,fijo,33,4,2,4,38,me gusta el ambiente laboral,1
